Sl. No,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2,Agra,Agra,Potato,Desi,FAQ,1180,1350,1250,22 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,1000,1050,1020,22 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1265,22 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,22 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,22 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,22 Jan 2020
8,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,22 Jan 2020
1,Agra,Fatehabad,Potato,Desi,FAQ,900,1000,950,23 Jan 2020
2,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,23 Jan 2020
3,Agra,Jarar,Potato,Desi,FAQ,1000,1200,1100,23 Jan 2020
4,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,23 Jan 2020
5,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,23 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,24 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1200,1350,1265,24 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,24 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1160,1320,1250,24 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1180,1220,1200,24 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,850,950,900,24 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,24 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,25 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1150,1350,1260,25 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,25 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1160,1300,1230,25 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1150,1250,1200,25 Jan 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,1000,1100,1050,25 Jan 2020
7,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,25 Jan 2020
1,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,26 Jan 2020
2,Agra,Jarar,Potato,Desi,FAQ,760,860,810,26 Jan 2020
3,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,26 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,27 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1100,1260,1180,27 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,27 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1150,1320,1200,27 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1200,1250,1225,27 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,760,860,810,27 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,27 Jan 2020
8,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,27 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,28 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1050,1250,1150,28 Jan 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,28 Jan 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,1140,1300,1210,28 Jan 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1220,1280,1250,28 Jan 2020
6,Agra,Jarar,Potato,Desi,FAQ,760,840,800,28 Jan 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,28 Jan 2020
8,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,28 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,29 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,1100,1260,1180,29 Jan 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,1100,1250,1170,29 Jan 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1150,1210,1180,29 Jan 2020
5,Agra,Jarar,Potato,Desi,FAQ,760,860,810,29 Jan 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,29 Jan 2020
7,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,29 Jan 2020
1,Agra,Agra,Potato,Desi,FAQ,1000,1150,1080,30 Jan 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,800,900,850,30 Jan 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,1100,1260,1190,30 Jan 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1120,1200,1160,30 Jan 2020
5,Agra,Jarar,Potato,Desi,FAQ,760,840,800,30 Jan 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,30 Jan 2020
7,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,30 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1100,1180,1140,31 Jan 2020
2,Agra,Agra,Potato,Desi,FAQ,900,1060,1000,31 Jan 2020
3,Agra,Jagnair,Potato,Desi,FAQ,1200,1250,1225,31 Jan 2020
4,Agra,Jarar,Potato,Desi,FAQ,760,840,800,31 Jan 2020
5,Agra,Khairagarh,Potato,Desi,FAQ,850,950,900,31 Jan 2020
1,Agra,Achnera,Potato,Desi,FAQ,1000,1100,1050,01 Feb 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,01 Feb 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,1100,1250,1175,01 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1180,1260,1220,01 Feb 2020
5,Agra,Samsabad,Potato,Local,FAQ,700,850,800,01 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,1000,1080,1040,02 Feb 2020
